Name,Description,frontImage,backImage,vendorName,link,Garment Type,caption
ABSTRACT PRINT SWEATSHIRT,Loose-fitting sweatshirt with a round neck and long sleeves. Contrast print on the front. Ribbed trims.,JacketFront111,JacketBack111,Zara,"https://www.zara.com/eg/en/abstract-print-sweatshirt-p06224405.html
",Jacket,cervix functionary goon hood hoodlum neck official one_shot punk red redness round shirt strong-armer thug tough toughie unisex unit_of_ammunition
CONTRAST TECHNICAL HOODIE,Hoodie made of contrast technical fabric. High neck with adjustable drawstring hood. Long sleeves. Hip welt pockets. Front logo print detail. Zip-up front.,JacketFront112,JacketBack112,Zara,"https://www.zara.com/eg/en/contrast-technical-hoodie-p02888325.html
",Jacket,black blackness color coloring colour colouring fashionable inkiness jumper stripe stylish sweater
SWEATSHIRT WITH RAISED SLOGAN,Oversize sweatshirt with a round neck and short sleeves. Matching textured slogan appliqué on the front. Faded effect.,JacketFront113,JacketBack113,Zara,"https://www.zara.com/eg/en/sweatshirt-with-raised-slogan-p04087412.html
",Jacket,blue blueness everyday jacket mundane necktie quotidian routine side tie unremarkable wear workaday
ABSTRACT PRINT SWEATSHIRT,Boxy fit T-sweatshirt. Round neck and short sleeves.,JacketFront115,JacketBack115,Zara,"https://www.zara.com/eg/en/abstract-print-sweatshirt-p01930407.html
",Jacket,adult_female arm jacket short sleeve wear winter wintertime woman
SWEATSHIRT WITH IRREGULAR TRIMS,Loose-fitting sweatshirt with a round neck and long sleeves. Irregular trims.,JacketFront116,JacketBack116,Zara,"https://www.zara.com/eg/en/sweatshirt-with-irregular-trims-p06224440.html
",Jacket,arm cervix full full-of-the-moon full_moon full_phase_of_the_moon lady neck one_shot pink round roundneck shirt sleeve unit_of_ammunition
FADED HOODIE,"Relaxed fit hoodie made of cotton with a napped interior. Adjustable hood and long sleeves. Faded effect and ribbed trims.<br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront117,JacketBack117,Zara,"https://www.zara.com/eg/en/faded-hoodie-p01930401.html
",Jacket,Caucasian Midi White White_person adult_female blue blueness button fashion manner mode print publish style way woman
CONTRASTING EMBROIDERED SWEATSHIRT,Round neck sweatshirt with long sleeves. Contrast slogan print on the front. Ribbed trims.,JacketFront118,JacketBack118,Zara,"https://www.zara.com/eg/en/contrasting-embroidered-sweatshirt-p00362401.html
",Jacket,adult_female cotton cotton_fiber cotton_wool jacket top woman
CONTRAST JACQUARD SWEATSHIRT,"Hoodie with an adjustable drawstring hood, long sleeves and ribbed trims.",JacketFront119,JacketBack119,Zara,"https://www.zara.com/eg/en/contrast-jacquard-sweatshirt-p04087424.html
",Jacket,adult_female arm cervix coat full full-of-the-moon full_moon full_phase_of_the_moon neck pink sleeve woman
BOXY FIT DENIM JACKET,Boxy fit jacket. Lapel collar and long sleeves with buttoned cuffs. Hip patch pockets. Faded effect. Asymmetric hem with side vents. Button-up front.,JacketFront12,JacketBack12,Zara,"https://www.zara.com/eg/en/boxy-fit-denim-jacket-p00840402.html
",Jacket,bank_check check cheque design designing feather hands jacket lady manpower men plumage plume pocket red redness work_force workforce
FADED HOODIE,"Relaxed fit faded hoodie featuring a high neck, front zip fastening, long sleeves and a front pouch pocket. <br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront120,JacketBack120,Zara,"https://www.zara.com/eg/en/faded-hoodie-p03854408.html
",Jacket,aught brown brownness cipher cypher goose_egg jacket nada naught nil nix nothing null side wear winter wintertime zero zilch zip zippo
SLOGAN PRINT HOODIE,Loose-fitting hoodie with long sleeves. Contrast slogan print on the front. Front pouch pocket. Ribbed trims.,JacketFront121,JacketBack121,Zara,"https://www.zara.com/eg/en/slogan-print-hoodie-p06019400.html
",Jacket,adult_female cervix design designing neck one_shot puff puff_of_air round top unit_of_ammunition whiff woman
SWEATSHIRT WITH PRINTED SLOGAN,Loose-fitting sweatshirt with a round neck and short sleeves. Contrast slogan print on the front.,JacketFront122,JacketBack122,Zara,"https://www.zara.com/eg/en/sweatshirt-with-printed-slogan-p06224441.html
",Jacket,adult_female cotton cotton_fiber cotton_wool lady red redness shirt woman
EMBROIDERED QUARTER-ZIP SWEATSHIRT,Quarter-zip oversize sweatshirt with long sleeves. Embroidery and contrast prints on the front. Ribbed trims.,JacketFront123,JacketBack123,Zara,"https://www.zara.com/eg/en/embroidered-quarter-zip-sweatshirt-p04087367.html
",Jacket,Caucasian White White_person beige blue blueness business_office champaign color coloring_material colour colouring_material cotton cotton_fiber cotton_wool ecru field office plain shirt
SWEATER WITH CONTRAST INTERIOR,Sweater made of a spun cotton blend fabric. Round neck and long sleeves. Contrast interior. Ribbed trims.,JacketFront124,JacketBack124,Zara,"https://www.zara.com/eg/en/sweater-with-contrast-interior-p04696400.html
",Jacket,arm button check check_into check_out check_over check_up_on cotton cotton_fiber cotton_wool go_over hanker linen long look_into shirt sleeve suss_out yearn
COMPACT SWEATSHIRT,Loose-fitting sweatshirt with a wide ribbed neck and short sleeves.,JacketFront125,JacketBack125,Zara,"https://www.zara.com/eg/en/compact-sweatshirt-p00761448.html
",Jacket,blouse cervix neck pink shirt top wool woolen woollen
OVERSIZE FIT SWEATSHIRT,Oversize fit cropped sweatshirt with a round neck and long sleeves. Ribbed trims.,JacketFront126,JacketBack126,Zara,"https://www.zara.com/eg/en/oversize-fit-sweatshirt-p04532421.html
",Jacket,arm black blackness blazer cotton cotton_fiber cotton_wool hanker inkiness long pink shirt sleeve soft sport_coat sport_jacket sports_coat sports_jacket wool woolen woollen yearn
CHECK-TEXTURE SWEATSHIRT,Round neck sweatshirt with long sleeves and ribbed cuffs. Featuring a matching slogan print on the front.,JacketFront127,JacketBack127,Zara,"https://www.zara.com/eg/en/check-texture-sweatshirt-p04087444.html
",Jacket,Grey Zane_Grey bank_check check cheque rope sandal shirt
TEXTURED SWEATSHIRT,Sweatshirt made of a compact cotton blend with an irregular texture. Round neck and short sleeves.,JacketFront128,JacketBack128,Zara,"https://www.zara.com/eg/en/textured-sweatshirt-p03992425.html
",Jacket,arm articulatio_genus black blackness blazer coat genu human_knee inkiness knee knee_joint lady outsize outsized oversize oversized sleeve spandex sport_coat sport_jacket sports_coat sports_jacket
SWEATSHIRT,Short sleeve sweatshirt with a round neck and a matching slogan print on the front.,JacketFront129,JacketBack129,Zara,"https://www.zara.com/eg/en/sweatshirt-p04087445.html
",Jacket,adult_female coat design designing green greenness necktie tie viridity woman
JACKET WITH POCKETS,Jacket made of compact technical fabric with a collar and long sleeves with buttoned cuffs. Front multi-function pockets. Zip-up front hidden by a snap-button placket.,JacketFront13,JacketBack13,Zara,"https://www.zara.com/eg/en/jacket-with-pockets-p06318507.html
",Jacket,adult_female arm jacket short sleeve winter wintertime woman
SLOGAN PRINT SWEATSHIRT,Sweatshirt with a round neckline and long sleeves. Contrast prints on the front and back. Ribbed trims.,JacketFront130,JacketBack130,Zara,"https://www.zara.com/eg/en/slogan-print-sweatshirt-p06224435.html
",Jacket,adult_female arm black blackness coat full full-of-the-moon full_moon full_phase_of_the_moon inkiness sleeve woman
HOODIE WITH RIPS - LIMITED EDITION,"Boxy-fit hoodie made of cotton with a terry interior. Featuring a hood, long sleeves, faded and ripped-effect trims and a front pouch pocket.",JacketFront131,JacketBack131,Zara,"https://www.zara.com/eg/en/hoodie-with-rips---limited-edition-p04087490.html
",Jacket,adult_female black blackness casual inkiness insouciant jacket nonchalant woman wool woolen woollen
FADED SWEATSHIRT,"Faded oversize sweatshirt featuring a round neckline, long sleeves and ribbed trims.",JacketFront132,JacketBack132,Zara,"https://www.zara.com/eg/en/faded-sweatshirt-p04087435.html
",Jacket,blue blueness ego print self shirt
SLOGAN HOODIE,"Hoodie made of compact cotton with a napped interior. Featuring an adjustable hood, long sleeves, a front pouch pocket and an elasticated hem.<br/><br/>Zara Athleticz.",JacketFront134,JacketBack134,Zara,"https://www.zara.com/eg/en/slogan-hoodie-p06224412.html
",Jacket,black blackness fashionable inkiness jacket leather partywear stylish
QUILTED SWEATSHIRT WITH HEARTS,Long sleeve quarter-zip quilted sweatshirt. Ribbed trims.,JacketFront135,JacketBack135,Zara,"https://www.zara.com/eg/en/quilted-sweatshirt-with-hearts-p04087433.html
",Jacket,adult_female apparis fake false faux fur imitation jacket pelt simulated woman
PRINTED SWEATSHIRT WITH SLOGAN,"Round neck sweatshirt with long sleeves and ribbed cuffs. Contrast prints on the back. Faded effect.<br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront136,JacketBack136,Zara,"https://www.zara.com/eg/en/printed-sweatshirt-with-slogan-p00722416.html
",Jacket,Grey Zane_Grey adult_female coat fake false faux fur hanker imitation long pelt simulated woman yearn
POLO SHIRT WITH EMBROIDERED SLOGAN,Collared polo shirt with a buttoned front. Long sleeves. Contrast embroidery details on the front. Faded effect. Ribbed trims.,JacketFront137,JacketBack137,Zara,"https://www.zara.com/eg/en/polo-shirt-with-embroidered-slogan-p02795404.html
",Jacket,animal animate_being aught beast brute cipher coat creature cypher embellishment embroidery fauna goose_egg gray grayness grey greyness hand manus mitt nada naught nil nix nothing null pant paw perfect perfect_tense perfective perfective_tense short skirt winter wintertime zero zilch zip zippo
HOODIE WITH TIE,Relaxed fit hoodie with short sleeves and an adjustable hood with a contrast tie.,JacketFront138,JacketBack138,Zara,"https://www.zara.com/eg/en/hoodie-with-tie-p05644408.html
",Jacket,adult_female black blackness inkiness jacket leather woman
FADED HOODIE,"Hoodie with an adjustable drawstring hood and long sleeves. Faded effect. Ribbed trims. Zip-up front.<br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront139,JacketBack139,Zara,"https://www.zara.com/eg/en/faded-hoodie-p03854400.html
",Jacket,adult_female arm black blackness hanker inkiness jacket long sleeve winter wintertime woman yearn
GEOMETRIC PRINT JACKET - LIMITED EDITION,Cropped jacket made of a textured rustic cotton fabric. Lapel collar and long sleeves with buttoned cuffs. Front patch pockets with flaps. Button-up front hidden by a placket.,JacketFront14,JacketBack14,Zara,"https://www.zara.com/eg/en/geometric-print-jacket---limited-edition-p04574916.html
",Jacket,Caucasian White White_person adult_female coat decorator designer house_decorator interior_decorator interior_designer print room_decorator woman
CROPPED SWEATSHIRT WITH SLOGAN,Cropped fit sweatshirt with a round neck and long sleeves. Contrast slogan print on the front. Ribbed trims.,JacketFront140,JacketBack140,Zara,"https://www.zara.com/eg/en/cropped-sweatshirt-with-slogan-p01198404.html
",Jacket,arm button hanker jacket long orange pocket sleeve yearn
RAISED PRINT SWEATSHIRT,Loose-fitting sweatshirt with a round neck and short sleeves. Matching raised print on the front. Ribbed trims.,JacketFront141,JacketBack141,Zara,"https://www.zara.com/eg/en/raised-print-sweatshirt-p00761436.html
",Jacket,adult_female arm black blackness full full-of-the-moon full_moon full_phase_of_the_moon inkiness red redness shirt sleeve vino wine woman
HOODIE WITH CUPID EMBROIDERY,Hoodie with an ample neck with adjustable hood and long sleeves. Pouch pocket at the front. Contrast embroidery and print on the front and back. Ribbed trims.,JacketFront143,JacketBack143,Zara,"https://www.zara.com/eg/en/hoodie-with-cupid-embroidery-p00962454.html
",Jacket,colored colored_person cotton cotton_fiber cotton_wool cream goon hood hoodlum jacket pick punk purple purpleness strong-armer thug tough toughie
SWEATSHIRT WITH PRINTED SLOGAN,Loose-fitting sweatshirt made of cotton fabric with a napped interior. Round neck and long sleeves. Contrast slogan print on the front. Ribbed trims.,JacketFront144,JacketBack144,Zara,"https://www.zara.com/eg/en/sweatshirt-with-printed-slogan-p03443401.html
",Jacket,cervix neck neckline one_shot purple purpleness round shirt unit_of_ammunition
PRINTED SWEATSHIRT WITH SLOGAN,Loose-fitting sweatshirt with a round neck and short sleeves. Contrast slogan print on the front.,JacketFront145,JacketBack145,Zara,"https://www.zara.com/eg/en/printed-sweatshirt-with-slogan-p00679403.html
",Jacket,Caucasian White White_person line print red redness shirt thin vino wine
BOXY FIT FADED HOODIE,"Boxy fit hoodie made of cotton with a napped interior. Featuring a hood, short sleeves, a front pouch pocket, faded effect and ribbed trims.<br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront146,JacketBack146,Zara,"https://www.zara.com/eg/en/boxy-fit-faded-hoodie-p00039403.html
",Jacket,adult_female animal animate_being beast brute button creature fauna gray grayness grey greyness print shirt woman
HOODIE WITH SLOGAN PRINT,Oversize hoodie with long sleeves. Pouch pocket at the front. Contrast embroidery and prints on the front and back. Ribbed trims.,JacketFront147,JacketBack147,Zara,"https://www.zara.com/eg/en/hoodie-with-slogan-print-p04087359.html
",Jacket,adult_female arm blue blueness jacket sleeve wear winter wintertime woman
ABSTRACT PRINT SWEATSHIRT,"Hoodie with an adjustable hood and long sleeves. Ribbed trims. <br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront148,JacketBack148,Zara,"https://www.zara.com/eg/en/abstract-print-sweatshirt-p01930402.html
",Jacket,adult_female blue blue_jean blueness denim jacket jean woman
SLOGAN PRINT HOODIE,Loose-fitting hoodie with long sleeves. Contrast slogan print on the front. Front pouch pocket. Ribbed trims.,JacketFront149,JacketBack149,Zara,"https://www.zara.com/eg/en/slogan-print-hoodie-p00962455.html
",Jacket,air_current black blackness breaker current_of_air fashionable inkiness ledgeman stylish wind
LIGHTWEIGHT TECHNICAL PARKA,"Lightweight parka made of a technical cotton blend. Featuring an adjustable hood with hidden elastic detail. Long sleeves with adjustable snap-button cuffs, welt pockets at the hip, adjustable hem with hidden elastic at the sides and front button fastening.",JacketFront15,JacketBack15,Zara,"https://www.zara.com/eg/en/lightweight-technical-parka-p04410823.html
",Jacket,adult_female conniption fashionable fit free jacket liberate loose release scene stylish tantrum unloose unloosen wear winter wintertime woman
CONTRAST PRINTED SWEATSHIRT,Oversize round neck sweatshirt with long sleeves. Contrast all-over prints. Ribbed trims.,JacketFront150,JacketBack150,Zara,"https://www.zara.com/eg/en/contrast-printed-sweatshirt-p06224439.html
",Jacket,Caucasian White White_person champaign color coloring_material colour colouring_material field hanker long plain skirt yearn
ROLLING STONES © GRAPHIC HOODIE,"Long sleeve hoodie. Featuring a Rolling Stones © 2023 graphic print on the back, a front pouch pocket, faded effect, ripped details and irregular trims.<br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront151,JacketBack151,Zara,"https://www.zara.com/eg/en/rolling-stones---graphic-hoodie-p01277403.html
",Jacket,blue blueness coat collar fur large neckband pelt sleeveless wool woolen woollen
SWEATSHIRT WITH PRINTED SLOGAN,Loose-fitting sweatshirt made of cotton fabric with a napped interior. Round neck and long sleeves. Slogan print on the front. Ribbed trims.,JacketFront152,JacketBack152,Zara,"https://www.zara.com/eg/en/sweatshirt-with-printed-slogan-p00761411.html
",Jacket,Caucasian White White_person adult_female cream leg_covering legging leging pick sleeveless woman wool woolen woollen
SLOGAN PRINT SWEATSHIRT,Loose-fitting sweatshirt made of a cotton fabric with a napped interior. Round neck and short sleeves. Contrast slogan print on the front.,JacketFront154,JacketBack154,Zara,"https://www.zara.com/eg/en/slogan-print-sweatshirt-p05584417.html
",Jacket,adult_female cervix neck one_shot pink round shirt unit_of_ammunition woman
CONTRAST PRINT SWEATSHIRT,Oversize sweatshirt with a round neck and long sleeves. Contrast embroidery and prints on the front and back. Ribbed trims.,JacketFront155,JacketBack155,Zara,"https://www.zara.com/eg/en/contrast-print-sweatshirt-p00962359.html
",Jacket,adult_female apple gestation green greenness jacket maternity pregnancy simple viridity woman
QUILTED SWEATSHIRT WITH HEARTS,Quilted hoodie with long sleeves and ribbed trims.,JacketFront156,JacketBack156,Zara,"https://www.zara.com/eg/en/quilted-sweatshirt-with-hearts-p04087431.html
",Jacket,arm cervix hanker linen long neck red redness shawl sleeve yearn
SWEATSHIRT WITH CONTRAST EMBROIDERY,"Cotton sweatshirt with a napped interior. Featuring a round neck, long sleeves, a contrast embroidered slogan on the front, prints on the back and ribbed trims.",JacketFront157,JacketBack157,Zara,"https://www.zara.com/eg/en/sweatshirt-with-contrast-embroidery-p00962433.html
",Jacket,adult_female red redness shirt vino wine woman
COLOUR BLOCK FAUX SHEARLING JACKET,Jacket made of a faux shearling fabric. High collar and long sleeves with ribbed cuffs. Front welt pockets. Ribbed hem. Front zip fastening.,JacketFront16,JacketBack16,Zara,"https://www.zara.com/eg/en/colour-block-faux-shearling-jacket-p08281353.html
",Jacket,adult_female aureate coat gilded gilt gold golden goon hood hoodlum partywear punk strong-armer thug tough toughie woman
OVERSIZE DENIM JACKET - LIMITED EDITION,Collared jacket with long sleeves and buttoned cuffs. Flap pockets on the chest and welt hip pockets. Faded effect. Button-up front.,JacketFront17,JacketBack17,Zara,"https://www.zara.com/eg/en/oversize-denim-jacket---limited-edition-p03991490.html
",Jacket,adult_female black blackness bottom elegant fashionable inkiness stylish underside undersurface wear woman
SHORT COTTON TRENCH COAT,"Oversize trench coat in compact cotton fabric. Featuring a wide notched lapel collar, long sleeves, welt pockets at the hip and double-breasted button fastening at the front.",JacketFront18,JacketBack18,Zara,"https://www.zara.com/eg/en/short-cotton-trench-coat-p00706130.html
",Jacket,adult_female back brown brownness chain coat concatenation design designing dorsum flower jacket top wear winter wintertime woman
CROPPED FIT DENIM JACKET,Cropped fit jacket. Lapel collar and long sleeves. Hip patch pockets. Faded effect. Button-up front hidden by a placket.,JacketFront19,JacketBack19,Zara,"https://www.zara.com/eg/en/cropped-fit-denim-jacket-p03991429.html
",Jacket,Garden_State Jersey NJ New_Jersey Pu adult_female atomic_number_94 coat cross fake false faux imitation plutonium simulated woman
LIGHT PADDED JACKET,Puffer jacket made of a technical fabric. High neck and long sleeves. Hip welt pockets. Elastic trims. Front zip fastening.,JacketFront2,JacketBack2,Zara,"https://www.zara.com/eg/en/light-padded-jacket-p04302520.html
",Jacket,adult_female casual coarse-textured insouciant jacket nonchalant rough-textured roundneck textured winter wintertime woman
DENIM JACKET WITH CONTRAST TOPSTITCHING,Relaxed-fit jacket. Lapel collar and long sleeves with buttoned cuffs. Flap pockets on the chest and side pockets at the hip. Contrast topstitching detail all over the garment. Button-up front.,JacketFront21,JacketBack21,Zara,"https://www.zara.com/eg/en/denim-jacket-with-contrast-topstitching-p01538424.html
",Jacket,Caucasian White White_person adult_female arm full full-of-the-moon full_moon full_phase_of_the_moon sleeve top woman
FAUX SUEDE JACKET WITH PATCHES,Collared varsity jacket made of faux suede. Long sleeves. Jetted hip pockets and inside pocket detail. Contrast patch and embroidery on the front. Ribbed trims. Snap-button front fastening.,JacketFront22,JacketBack22,Zara,"https://www.zara.com/eg/en/faux-suede-jacket-with-patches-p08281357.html
",Jacket,adult_female back colored colored_person cream design designing dorsum embellishment embroidery jacket out-of-door outdoor outside pick side slide_fastener summer summertime woman zip zip_fastener zipper
CHECK CROPPED JACKET,Cropped jacket made of a wool blend fabric. Featuring a lapel collar and long sleeves. Patch pockets at the hip. Fastens at the front with hidden snap buttons.,JacketFront23,JacketBack23,Zara,"https://www.zara.com/eg/en/check-cropped-jacket-p04271300.html
",Jacket,arm brown brownness button color coloring colour colouring full full-of-the-moon full_moon full_phase_of_the_moon hanker jacket large long print publish sleeve yearn
TEXTURED DENIM JACKET - LIMITED EDITION,Collared jacket featuring long sleeves with buttoned cuffs. Chest flap pockets and hip welt pockets. Faded and irregular textured-effect finish all over the garment. Buttoned front.,JacketFront24,JacketBack24,Zara,"https://www.zara.com/eg/en/textured-denim-jacket---limited-edition-p01538430.html
",Jacket,Caucasian White White_person black blackness champaign cotton cotton_fiber cotton_wool field inkiness jacket plain suit suit_of_clothes
ZIPPED JACKET,Jacket with a lapel collar and long sleeves. Front pouch pockets. Front zip fastening.,JacketFront25,JacketBack25,Zara,"https://www.zara.com/eg/en/zipped-jacket-p04087418.html
",Jacket,adult_female arm black blackness bottom detail gray grayness grey greyness hanker inkiness item long point shoulder side skirt sleeve underside undersurface woman yearn
SHORT TRENCH COAT,Boxy fit trench coat with a wide notched lapel collar. Long sleeves with tabs on the cuffs. Welt pockets at the hip and an inside pocket. Double-breasted button fastening.,JacketFront26,JacketBack26,Zara,"https://www.zara.com/eg/en/short-trench-coat-p04164918.html
",Jacket,adult_female arm dark darkness full full-of-the-moon full_moon full_phase_of_the_moon gray grayness grey greyness jacket sleeve woman
HOODED TECHNICAL JACKET,"Jacket made of technical fabric with a napped interior. Featuring a high collar with an adjustable hood, long sleeves with hook-and-loop straps on the cuffs, zip pockets on the chest and hip and a zip-up front.",JacketFront27,JacketBack27,Zara,"https://www.zara.com/eg/en/hooded-technical-jacket-p01538301.html
",Jacket,adult_female cap jacket midst puff puff_of_air red redness thick whiff winter wintertime woman
LEATHER BIKER JACKET,Jacket with a lapel collar with snap buttons. Long sleeves with zip cuffs. Front zip pockets and an inside pocket. Asymmetric front fastening with metal zip.,JacketFront28,JacketBack28,Zara,"https://www.zara.com/eg/en/leather-biker-jacket-p05833412.html
",Jacket,adult_female blue blueness pant slide_fastener woman wool woolen woollen zip zip_fastener zipper
CONTRAST JACQUARD JACKET,Loose-fitting jacket with a lapel collar and long sleeves. Button-up front.,JacketFront29,JacketBack29,Zara,"https://www.zara.com/eg/en/contrast-jacquard-jacket-p04087423.html
",Jacket,adult_female arm cervix coat cotton cotton_fiber cotton_wool full full-of-the-moon full_moon full_phase_of_the_moon neck print publish sleeve woman
PLEATED CROPPED DENIM JACKET,Cropped fit collared denim jacket with a quilted interior. Long sleeves with buttoned cuffs. Side welt pockets at the hip. Hem with front pleats. Faded effect. Button-up front.,JacketFront3,JacketBack3,Zara,"https://www.zara.com/eg/en/pleated-cropped-denim-jacket-p01538421.html
",Jacket,arm full full-of-the-moon full_moon full_phase_of_the_moon hanker jumper knit long multi sleeve sweater yearn
BOXY FIT JACKET,Boxy-fit collared jacket made of a wool blend. Long sleeves with tabs on the cuffs. Welt pockets at the waist. Hem with tabs at the back. Button-up front.,JacketFront33,JacketBack33,Zara,"https://www.zara.com/eg/en/boxy-fit-jacket-p04532406.html
",Jacket,adult_female blue_jean button denim jacket jean woman yellow yellowness
BOXY FIT DENIM JACKET,Boxy fit jacket made of cotton denim. High neck and long sleeves with buttoned cuffs. Patch pockets with flaps on the chest and inside pocket detail. Faded effect. Front zip fastening hidden by a placket.,JacketFront35,JacketBack35,Zara,"https://www.zara.com/eg/en/boxy-fit-denim-jacket-p00706917.html
",Jacket,adult_female arm brown brownness cervix coat hanker high long neck pant quilt sleeve woman yearn
COLOUR BLOCK TECHNICAL JACKET,Jacket made of technical fabric. High neck and long sleeves with elasticated cuffs. Front pockets with zip fastening hidden by a flap at the hi. Elasticated hem. Zip-up front.,JacketFront36,JacketBack36,Zara,"https://www.zara.com/eg/en/colour-block-technical-jacket-p08281368.html
",Jacket,brown brownness jacket red redness vino wear wine winter wintertime
TEXTURED JACKET,Textured collared jacket. Long sleeves with buttoned cuffs. Patch chest pockets and concealed hip pocket details. Side vents at the hem. Button-up front.,JacketFront37,JacketBack37,Zara,"https://www.zara.com/eg/en/textured-jacket-p04302457.html
",Jacket,adult_female beige black blackness blouse collar ecru inkiness neckband woman
